name,keywords,function,found_in
"Potassium Dichromate","Potassium Bichromate,Bichromate of Potash,Dipotassium Dichromate,Chromic Acid","สารเคมีอุตสาหกรรม,สารฟอกสี,สารกันสนิม,ให้สี","ปูนซีเมนต์,เครื่องหนัง (ถุงมือ,รองเท้า),สี (ทำแก้ว,พลาสติก,ย้อมผ้า),น้ำมันเครื่อง,หมึกพิมพ์,ผงซักฟอก,ขี้ผึ้งขัดพื้น,น้ำยาขัดรองเท้า"
"Cetrimonium bromide (Cetrimide)","Cetrimide,CTAB,Cetyl-trimethyl-ammonium-bromide,Hexadecyltrimethylammonium bromide","สารลดแรงตึงผิว,สารกันเสีย,ทำให้ผิวนุ่มลื่น","เครื่องสำอาง,แชมพู,ครีมนวดผม"
"Iron Oxide (Red) (CI 77491)","CI 77491,Ferric Oxide,Red Iron Oxide,Pigment Red 101","สารให้สีแดง (สารประกอบอนินทรีย์)","เครื่องสำอาง,แป้ง,คอนซีลเลอร์,อายแชโดว์,ลิปสติก,บลัชออน"
"Iron Oxide (Yellow) (CI 77492)","CI 77492,Hydrated Ferric Oxide,Yellow Iron Oxide,Pigment Yellow 42","สารให้สีเหลือง (สารประกอบอนินทรีย์)","เครื่องสำอาง,แป้ง,คอนซีลเลอร์,อายแชโดว์,ลิปสติก,บลัชออน"
"Linear Alkylbenzene Sulfonate (LAS)","LAS,Sodium Dodecylbenzenesulfonate","สารลดแรงตึงผิว,สารทำความสะอาด","สบู่เหลว,แชมพู,ครีมอาบน้ำ,ครีมทาผิว,เครื่องสำอาง"
"Butylene Glycol","1,3-Butanediol,Humectant","ตัวทำละลาย,เพิ่มความชุ่มชื้น,ทำให้เนื้อผลิตภัณฑ์ดีขึ้น","แชมพู,สบู่,ผลิตภัณฑ์รอบดวงตา,เครื่องสำอาง,ผลิตภัณฑ์ทำความสะอาด,ครีมโกนหนวด,ผลิตภัณฑ์บำรุงผิว"
"Polysorbate 60","Tween 60,Polyoxyethylene (20) sorbitan monostearate","สารลดแรงตึงผิว,ตัวประสานน้ำกับน้ำมัน (Emulsifier)","สบู่เหลว,แชมพู,ครีมอาบน้ำ,ครีมทาผิว,เครื่องสำอาง"
"2-Bromo-2-Nitropropane-1, 3-diol","Bronopol,Bronidiol,Bronocot,Bronosol,Onyxide 500,Formaldehyde liberator","สารกันเสีย (กลุ่ม Formaldehyde liberator)","เครื่องสำอาง,ผลิตภัณฑ์ทำความสะอาด,แชมพู,ครีมนวดผม,ครีมอาบน้ำ,สบู่"
"Polyquaternium-11","Polyquaternium-11","สารลดแรงตึงผิว,สารก่อฟิล์ม,ช่วยจัดแต่งทรงผม","สบู่เหลว,แชมพู,ครีมอาบน้ำ,ครีมทาผิว,เครื่องสำอาง,ผลิตภัณฑ์จัดแต่งทรงผม"
"Glutaraldehyde","Glutaral,Glutaric Dialdehyde,Pentanedial,Cidex","สารกันเสีย,สารฆ่าเชื้อประสิทธิภาพสูง","น้ำยาฆ่าเชื้อ,สารทำความสะอาด (ระดับอุตสาหกรรม/การแพทย์)"
"Benzalkonium Chloride","ADBAC,Quats,BKC,BAC,Alkyl Dimethyl Benzyl Ammonium Chloride","สารกันเสีย,สารฆ่าเชื้อ,สารทำความสะอาด","เครื่องสำอาง,ผลิตภัณฑ์สำหรับผิว,แชมพู,ครีมนวดผม,ครีมอาบน้ำ,สบู่,สารทำความสะอาดทั่วไป"
"Polyvinyl Acetate (PVA) (กาวลาเท็กซ์)","PVA,กาวลาเท็กซ์,PVAc,White Glue,Wood Glue","สารยึดเกาะ,สารก่อฟิล์ม,ส่วนประกอบหลักในกาว","กาวสำหรับงานไม้,กาวติดกระดาษ,กาวทำสันหนังสือ,งานฝีมือ,กาวติดวอลล์เปเปอร์,สารรองพื้นผนังยิปซัม"
"Cetrimonium chloride","Cetyl-trimethyl-ammonium-chloride","สารกันเสีย,ฆ่าเชื้อ,ป้องกันไฟฟ้าสถิต,ทำให้ผมนุ่มลื่น","เครื่องสำอาง,ครีมทาผิว,ผลิตภัณฑ์ดูแลเส้นผม (แชมพู,ครีมนวด,ยาย้อมผม)"
"Sodium lauryl ether sulfate (SLES)","SLES,Sodium laureth sulfate,Texapon","สารลดแรงตึงผิว,สารทำความสะอาด,ทำให้เกิดฟอง","สบู่,สบู่เหลว,แชมพู,ยาสีฟัน,น้ำยาทำความสะอาด,น้ำยาล้างจาน"
"Sodium Stearoyl Glutamate","Sodium Stearoyl Glutamate","สารลดแรงตึงผิว,สารทำความสะอาด,ตัวประสานเนื้อครีม","สบู่เหลว,แชมพู,ครีมอาบน้ำ,ครีมทาผิว,เครื่องสำอาง"
"Lauryl glucoside","D-Glucopyranoside lauryl","สารลดแรงตึงผิว,สารทำความสะอาด (มีความอ่อนโยน)","สบู่,แชมพู,ยาสีฟัน,น้ำยาทำความสะอาด,น้ำยาล้างจาน,ผลิตภัณฑ์สำหรับเด็ก"
"Nonylphenol ethoxylate (NPE)","NPE,Nonoxynols","สารลดแรงตึงผิว,สารทำความสะอาด,ทำให้เกิดฟอง","สบู่,แชมพู,ยาสีฟัน,น้ำยาทำความสะอาด,น้ำยาล้างจาน,อุตสาหกรรมกระดาษและสิ่งทอ"
"Cocamidopropyl betaine (CAPB)","CAPB,Coco Betaine,Dehyton","สารลดแรงตึงผิว,สารทำความสะอาด,ช่วยเพิ่มฟอง","สบู่,แชมพู,ยาสีฟัน,น้ำยาทำความสะอาด,น้ำยาล้างจาน"
"Sodium dehydroacetate and sodium benzoate","Dehydroacetic Acid Sodium Salt,Benzoate of Soda,E211","สารกันเสีย (ทำงานร่วมกัน)","ผลิตภัณฑ์บำรุงผิว,เครื่องสำอาง,ครีมอาบน้ำ,อาหารและเครื่องดื่ม (สำหรับ Sodium Benzoate)"